name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides uniformis	820	S	14841	49871	64712	0.08634
Bacteroides intestinalis	329854	S	3164	2032	5196	0.00693
Bacteroides sp. M10	2763022	S	1507	6840	8347	0.01114
Bacteroides sp. D2	556259	S	342	2741	3083	0.00411
Bacteroides sp. HF-162	2785531	S	57	2220	2277	0.00304
Bacteroides sp. CACC 737	2755405	S	36	709	745	0.00099
Bacteroides sp. A1C1	2528203	S	30	743	773	0.00103
Bacteroides sp. DH3716P	2847299	S	21	1071	1092	0.00146
Bacteroides thetaiotaomicron	818	S	1114	870	1984	0.00265
Bacteroides xylanisolvens	371601	S	722	4460	5182	0.00691
Bacteroides cellulosilyticus	246787	S	674	1745	2419	0.00323
Bacteroides caccae	47678	S	421	185	606	0.00081
Bacteroides ovatus	28116	S	323	4620	4943	0.00660
Bacteroides zhangwenhongii	2650157	S	214	1081	1295	0.00173
Bacteroides difficilis	2763021	S	160	886	1046	0.00140
Bacteroides faecis	674529	S	142	157	299	0.00040
Bacteroides stercoris	46506	S	125	180	305	0.00041
Bacteroides hominis	2763023	S	125	3829	3954	0.00528
Bacteroides fragilis	817	S	85	307	392	0.00052
Bacteroides salyersiae	291644	S	79	26	105	0.00014
Bacteroides celer	2025659	S	62	436	498	0.00066
Bacteroides maternus	3117552	S	37	68	105	0.00014
Bacteroides finegoldii	338188	S	35	160	195	0.00026
Bacteroides nordii	291645	S	31	36	67	0.00009
Bacteroides parvus	2763025	S	22	741	763	0.00102
Prevotella heparinolytica	28113	S	13	13	26	0.00003
Phocaeicola vulgatus	821	S	16960	47489	64449	0.08599
Phocaeicola dorei	357276	S	262	889	1151	0.00154
Phocaeicola salanitronis	376805	S	12	2	14	0.00002
Parabacteroides merdae	46503	S	10303	11330	21633	0.02886
Parabacteroides distasonis	823	S	5867	42169	48036	0.06409
Parabacteroides johnsonii	387661	S	269	262	531	0.00071
Parabacteroides sp. CT06	2025876	S	25	5949	5974	0.00797
Alistipes putredinis	28117	S	7143	4616	11759	0.01569
Alistipes shahii	328814	S	2750	6903	9653	0.01288
Alistipes communis	2585118	S	1460	615	2075	0.00277
Alistipes indistinctus	626932	S	1042	203	1245	0.00166
Alistipes onderdonkii	328813	S	1010	703	1713	0.00229
Alistipes ihumii	1470347	S	585	73	658	0.00088
Alistipes senegalensis	1288121	S	314	217	531	0.00071
Alistipes finegoldii	214856	S	299	368	667	0.00089
Alistipes dispar	2585119	S	14	6	20	0.00003
Odoribacter splanchnicus	28118	S	3930	861	4791	0.00639
Butyricimonas virosa	544645	S	539	703	1242	0.00166
Butyricimonas paravirosa	1472417	S	22	61	83	0.00011
Butyricimonas faecalis	2093856	S	20	19	39	0.00005
Paraprevotella clara	454154	S	1782	2211	3993	0.00533
Paraprevotella xylaniphila	454155	S	273	370	643	0.00086
Segatella copri	165179	S	249	136	385	0.00051
Barnesiella intestinihominis	487174	S	1155	203	1358	0.00181
Coprobacter fastidiosus	1099853	S	43	4	47	0.00006
Escherichia coli	562	S	422	68552	68974	0.09203
Haemophilus parainfluenzae	729	S	14	10	24	0.00003
Sutterella wadsworthensis	40545	S	4032	660	4692	0.00626
Oxalobacter formigenes	847	S	13	5	18	0.00002
Bilophila wadsworthia	35833	S	625	96	721	0.00096
Desulfovibrio fairfieldensis	44742	S	296	72	368	0.00049
Agathobacter rectalis	39491	S	29524	20897	50421	0.06728
Blautia wexlerae	418240	S	15406	25119	40525	0.05407
Blautia obeum	40520	S	3846	3718	7564	0.01009
Blautia massiliensis (ex Durand et al. 2017)	1737424	S	865	15544	16409	0.02189
Blautia luti	89014	S	265	299	564	0.00075
Blautia hydrogenotrophica	53443	S	242	70	312	0.00042
Blautia sp. SC05B48	2479767	S	71	421	492	0.00066
Blautia producta	33035	S	18	6	24	0.00003
Blautia hansenii	1322	S	13	8	21	0.00003
