Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.9906	0.4992	98.41	71.000	NA-NA	HIGH	NA-NA	71	50.333	39/64	98.41	0	IMGVR_UViG_3300007650_000221|3300007650|Ga0105532_100037|108366-121537
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.7534	0.3609	97.21	54.000	NA-NA	HIGH	NA-NA	54	56.074	27/65	97.21	6	IMGVR_UViG_2571042269_000003|2571042269|2571061281
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.6836	3.0277	97.42	49.000	NA-NA	HIGH	NA-NA	49	49.509	222/499	97.42	187	IMGVR_UViG_3300045988_079583|3300045988|Ga0495776_102789
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.6557	0.4338	96.26	47.000	NA-NA	HIGH	NA-NA	47	46.526	19/62	96.26	4	IMGVR_UViG_3300029055_000223|3300029055|Ga0169617_101144
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.6557	2.8924	99.42	47.000	NA-NA	HIGH	NA-NA	47	47.356	427/511	99.42	0	IMGVR_UViG_3300045988_067614|3300045988|Ga0495776_102750
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.5860	0.3367	99.34	42.000	NA-NA	HIGH	NA-NA	42	52.298	57/70	99.34	4	IMGVR_UViG_2914580057_000006|2914580057|2914580102
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.5581	0.3011	95.96	40.000	NA-NA	HIGH	NA-NA	40	38.941	17/61	95.96	6	IMGVR_UViG_3300029796_000292|3300029796|Ga0243875_1002739
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.5302	1.3894	96.43	38.000	NA-NA	HIGH	NA-NA	38	38.756	90/278	96.43	9	IMGVR_UViG_3300045988_163925|3300045988|Ga0495776_138490
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.5302	0.5449	95.73	38.000	NA-NA	HIGH	NA-NA	38	36.870	23/89	95.73	17	IMGVR_UViG_3300029752_000108|3300029752|Ga0243766_101010
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.5162	0.3164	98.78	37.000	NA-NA	HIGH	NA-NA	37	37.317	41/60	98.78	0	IMGVR_UViG_3300023543_000157|3300023543|Ga0257048_101506
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.5162	0.3020	96.48	37.000	NA-NA	HIGH	NA-NA	37	37.917	24/73	96.48	8	IMGVR_UViG_3300029761_000104|3300029761|Ga0243857_101904
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.5162	0.4440	96.99	37.000	NA-NA	HIGH	NA-NA	37	33.711	38/98	96.99	1	IMGVR_UViG_3300029422_000155|3300029422|Ga0242786_101561
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.4883	1.2742	95.11	35.000	NA-NA	HIGH	NA-NA	35	38.656	64/303	95.11	135	IMGVR_UViG_3300045988_109539|3300045988|Ga0495776_155916
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.4744	0.2240	95.69	34.000	NA-NA	HIGH	NA-NA	34	33.385	13/51	95.69	20	IMGVR_UViG_3300029539_000053|3300029539|Ga0244892_101635
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.4604	0.4214	95.03	33.000	NA-NA	HIGH	NA-NA	33	31.429	21/102	95.03	44	IMGVR_UViG_3300008299_000404|3300008299|Ga0114868_1000568|19180-43099
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.4604	0.2217	97.49	33.000	NA-NA	HIGH	NA-NA	33	30.720	25/55	97.49	1	IMGVR_UViG_3300029530_000076|3300029530|Ga0244962_101757
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.4465	0.3627	96.04	32.000	NA-NA	HIGH	NA-NA	32	35.000	22/77	96.04	6	IMGVR_UViG_3300030319_000141|3300030319|Ga0244979_101417
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.4465	0.3957	97.44	32.000	NA-NA	HIGH	NA-NA	32	39.279	43/96	97.44	40	IMGVR_UViG_3300029184_000099|3300029184|Ga0169197_100052|19669-42835
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.4325	0.7207	99.45	31.000	NA-NA	HIGH	NA-NA	31	30.944	160/190	99.45	0	IMGVR_UViG_3300045988_065129|3300045988|Ga0495776_139353
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.4325	0.2683	95.17	31.000	NA-NA	HIGH	NA-NA	31	41.571	14/65	95.17	36	IMGVR_UViG_3300029608_000171|3300029608|Ga0245152_101806
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.4325	0.7368	95.66	31.000	NA-NA	HIGH	NA-NA	31	30.340	47/186	95.66	84	IMGVR_UViG_3300045988_081292|3300045988|Ga0495776_169332
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.4185	0.2620	99.14	30.000	NA-NA	HIGH	NA-NA	30	28.750	52/68	99.14	0	IMGVR_UViG_3300029749_000361|3300029749|Ga0245202_1002041
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.4185	0.9581	98.01	30.000	NA-NA	HIGH	NA-NA	30	27.442	147/274	98.01	1	IMGVR_UViG_3300006568_000418|3300006568|Ga0100215_100106|56130-115960
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.4185	0.2859	96.48	30.000	NA-NA	HIGH	NA-NA	30	30.222	27/82	96.48	36	IMGVR_UViG_3300029021_000153|3300029021|Ga0169710_100990
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.4046	0.2705	95.86	29.000	NA-NA	HIGH	NA-NA	29	6.524	21/78	95.86	49	IMGVR_UViG_3300001682_000487|3300001682|SAHD_10008749
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.4046	0.3376	96.10	29.000	NA-NA	HIGH	NA-NA	29	33.321	28/96	96.10	4	IMGVR_UViG_3300029430_000283|3300029430|Ga0243922_101815
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.3906	0.2558	98.18	28.000	NA-NA	HIGH	NA-NA	28	18.698	43/76	98.18	13	IMGVR_UViG_2854409118_000001|2854409118|2854409157
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.3906	0.4751	96.81	28.000	NA-NA	HIGH	NA-NA	28	24.229	48/131	96.81	37	IMGVR_UViG_2920668097_000002|2920668097|2920668107|326232-358017
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.3906	0.4577	96.63	28.000	NA-NA	HIGH	NA-NA	28	19.673	49/142	96.63	63	IMGVR_UViG_3300045988_125220|3300045988|Ga0495776_115444
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.3906	0.4969	99.24	28.000	NA-NA	HIGH	NA-NA	28	25.850	127/161	99.24	0	IMGVR_UViG_3300008479_000172|3300008479|Ga0114883_1000844
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.3767	0.2373	100.00	27.000	NA-NA	HIGH	NA-NA	27	24.618	76/76	100.00	0	IMGVR_UViG_3300029622_000347|3300029622|Ga0245124_1002580
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.3767	0.1674	99.94	27.000	NA-NA	HIGH	NA-NA	27	27.276	58/59	99.94	0	IMGVR_UViG_3300029393_000327|3300029393|Ga0243986_1000610|33018-44634
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.3627	0.2688	95.39	26.000	NA-NA	HIGH	NA-NA	26	26.789	19/82	95.39	53	IMGVR_UViG_3300029436_000400|3300029436|Ga0243833_1000409|7040-26410
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.3627	0.1574	96.19	26.000	NA-NA	HIGH	NA-NA	26	22.533	15/50	96.19	2	IMGVR_UViG_3300029070_000047|3300029070|Ga0169176_10154|20429-31766
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.3627	0.2241	98.43	26.000	NA-NA	HIGH	NA-NA	26	24.105	38/62	98.43	0	IMGVR_UViG_3300029030_000168|3300029030|Ga0169673_100813
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	imgvr_reps.fna	0.3627	0.3969	99.98	26.000	NA-NA	HIGH	NA-NA	26	25.695	131/132	99.98	0	IMGVR_UViG_3300045988_049388|3300045988|Ga0495776_052245
