Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/027/667/425/GCF_027667425.1_genomic.fna.gz	5.8396	6.7889	98.76	26.000	NA-NA	HIGH	NA-NA	26	24.803	11099/16352	98.76	872	NZ_JAQEGR010000001.1 Fusicatenibacter saccharivorans strain AM67-22ACA AM67-22ACA.Scaf1, whole genome shotgun sequence
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/019/052/365/GCF_019052365.1_genomic.fna.gz	3.5936	3.5338	96.86	16.000	NA-NA	HIGH	NA-NA	16	16.036	5120/13775	96.86	280	NZ_JAHQUY010000087.1 Leyella stercorea strain MSK.21.24 NODE_100_length_10106_cov_221.554, whole genome shotgun sequence
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/025/147/485/GCF_025147485.1_genomic.fna.gz	2.8444	4.0469	99.07	12.664	NA-NA	HIGH	NA-NA	14	12.664	14614/19545	99.07	506	NZ_CP102263.1 Bacteroides uniformis strain ATCC 8492 chromosome, complete genome
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	2.8357	4.3879	97.58	12.626	NA-NA	HIGH	NA-NA	13	12.626	9924/21223	97.58	3	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/012/825/GCF_000012825.1_genomic.fna.gz	2.7502	4.3640	99.38	12.245	NA-NA	HIGH	NA-NA	12	12.245	17412/21133	99.38	11	NC_009614.1 Phocaeicola vulgatus ATCC 8482, complete sequence
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/000/020/605/GCF_000020605.1_genomic.fna.gz	2.6717	2.8326	98.37	11.896	NA-NA	HIGH	NA-NA	11	11.896	8415/14021	98.37	658	NC_012781.1 Agathobacter rectalis ATCC 33656, complete sequence
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/020/687/245/GCF_020687245.1_genomic.fna.gz	2.5790	2.3479	97.77	11.483	NA-NA	HIGH	NA-NA	12	11.483	6366/12801	97.77	1457	NZ_JAJEQG010000010.1 Faecalibacterium longum CLA-AA-H243 NODE_10_length_77401_cov_21.251280, whole genome shotgun sequence
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/023/347/235/GCF_023347235.1_genomic.fna.gz	2.3853	2.3664	97.14	10.620	NA-NA	HIGH	NA-NA	10	10.620	5481/13454	97.14	1985	NZ_CP094467.1 Faecalibacterium sp. I4-1-79 chromosome, complete genome
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/023/347/255/GCF_023347255.1_genomic.fna.gz	2.3659	2.2681	99.04	10.534	NA-NA	HIGH	NA-NA	11	10.534	9594/12942	99.04	258	NZ_CP094466.1 Faecalibacterium sp. I4-3-84 chromosome, complete genome
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	gtdb_genomes_reps_r220/database/GCF/020/687/435/GCF_020687435.1_genomic.fna.gz	2.2411	2.3942	97.12	9.978	NA-NA	HIGH	NA-NA	10	9.978	6013/14878	97.12	4494	NZ_JAJEQQ010000010.1 Blautia sp. CLA-AA-H217 NODE_10_length_118329_cov_31.248562, whole genome shotgun sequence
/home/jb/open_problems/medical/dysbiosis/fastq_analysis/qc/CXD568_trim_1.fastq.gz	gtdb_genomes_reps_r220/database/GCA/958/454/115/GCA_958454115.1_genomic.fna.gz	2.1114	1.6127	99.12	9.401	NA-NA	HIGH	NA-NA	9	9.401	8110/10656	99.12	127	CAUEAK010000001.1 MAG TPA_asm: Blautia wexlerae isolate SRR18940294_bin.27_MetaWRAP_v1.3_MAG genome assembly, contig: ERZ18683078.73, whole genome shotgun sequence
